BID,positive,negative,cool,funny,useful,year,annual review,rRate
 usSROUMiAgPcxV3Ym0OxMQ,43,9,2,1,4,7,8.85714285714,4.0
 _jsJFrAmFVPRio0eEVExbA,4,2,0,0,0,3,1.33333333333,-0.5
 Rjx8GcWuCzfVsKC5iPIcQA,5,2,0,0,0,4,1.75,0.333333333333
 s74Tq6WKV1b91UFRr7ch7g,10,6,0,0,0,4,2.75,0.666666666667
 BG4N0V93wml9kaU6YYRxRA,6,4,0,1,0,5,2.0,0.333333333333
 83_p9vIqOq1TUIf3_GD7bA,62,16,4,1,10,7,11.7142857143,0.0
 bZcqORBnVApUA2-SEn7VEQ,2,1,0,1,1,5,1.2,0.0
 YMEtEsUDQKOYJOcE5Fx3gQ,21,4,0,0,1,6,3.5,1.2
 wfCLz9-aeShbPB7CaTY-qQ,64,27,7,9,14,8,9.625,0.0
 EPILrBqmgQxd-R1gZ1EWJg,6,1,0,0,2,6,1.83333333333,0.142857142857
 2PfavOTufsPCRdYm-bFcpw,35,10,4,2,6,6,8.16666666667,0.0
 VkqKyq09rDYMhFk5nElWWA,5,3,0,0,1,2,2.0,0.666666666667
 BbIh5NTizhV4Fq_mLmNkpg,2,5,0,0,0,3,1.0,0.0
 Z7HNl4Gz00cA0_wt0S-vSw,5,1,0,0,1,5,2.2,0.666666666667
 OjzR6hUYasFReo0vhVn0-w,7,1,2,1,5,4,1.25,0.2
 zq--BGVHu7_fb1VHEwg2ow,5,1,0,0,0,6,1.0,0.0
 cZl7-Um4HiJWFgDVmMan2Q,10,10,2,2,5,5,3.4,0.8
 I9-Ei8_KYtMjbixNJSCvwA,6,3,0,0,1,2,1.0,0.0
 obAdXU3RULuUOww759_h_w,9,1,0,0,1,4,1.5,0.142857142857
 YUZVBdGmagwXV-yOhR-1GQ,8,6,2,2,4,5,2.0,0.0
 N2DwycuZl95miWf39Yskaw,4,1,3,2,3,3,1.0,0.0
 9NL2GL4jSPVj9SKijH5PqA,15,7,1,1,1,4,3.0,0.0
 WY6FFxpa6ztwDH5OhS6WDw,8,1,0,0,1,4,2.75,-0.333333333333
 LV_OCiR9rOHVHgdhbpqw2Q,3,0,0,0,1,5,1.6,0.25
 cRv7pLvIe3eI0efndQBcLg,6,5,1,1,1,2,1.5,-1.0
 ORTRrw3ClZ0Ld0LgY1H_5g,8,4,1,1,1,5,2.4,0.833333333333
 9aw0t0rlACKkMaxsX0KlKA,2,0,0,0,0,2,1.5,-0.25
 Tb7hQ37UFA2QFaMwjFieQw,5,2,0,0,0,3,1.33333333333,0.25
 21hqlWgjmNgW4pBZJDuziQ,3,1,0,0,0,5,1.2,0.0
 WxN-aV_puFazt3UGNLlw0A,3,1,0,0,0,4,1.75,0.75
 JL5B_s1EoN4zIru4JSw4Qg,4,2,0,1,0,3,2.0,-0.5
 _8xYpVdKMllhuuf4PIvq8w,5,2,0,0,0,4,2.25,0.0
 K8Ebs8G1rwc3DBdznHvDxg,2,1,0,0,0,3,1.33333333333,0.0
 tRhwP2jCg_lI1BrjdscNbw,4,0,1,0,0,2,1.5,0.333333333333
 zvqxmVZgJ0XpJfb1Xn5jKQ,1,1,0,0,0,4,1.25,0.0
 uwiD9jxs09xxXG0by_xKuA,4,1,0,0,0,3,1.66666666667,0.666666666667
 f0eAe5PZMy_MEvxEEBYAcQ,5,2,0,1,0,4,1.5,0.0
 zhQzX3CxM0tdBXwGUWmxGA,8,2,0,1,2,6,2.33333333333,0.166666666667
 ZS7-I04iDm4oRP_GJsJqrA,5,1,2,1,2,3,1.0,0.0
 xSYGuHecEWP7At0HYbO5Jg,4,2,0,0,1,5,1.4,0.0
 7ijQJV72aBrEoJCtTBCHxw,8,6,1,1,2,5,2.6,0.8
 z4cCguoHdU48pj6sXMIzqg,40,21,2,1,6,8,8.75,1.85714285714
 imzKM9-mgN1Yk_RIXx3IgA,11,3,1,1,2,4,3.25,0.8
 9D4PMia-8WqCYXnr7TM0Pw,16,3,1,1,2,6,2.66666666667,0.5
 4LcFKTr6Ah87VcxW2z5e6w,2,8,1,0,0,1,3,NA
 buVALudg30kgkDusqB3yJw,52,19,5,3,13,6,12.5,0.0
 wHi8ODv7TGmeUB02XoX-mA,55,28,4,5,12,8,15.125,0.0
 J7I85lTCEGr9-qp6AXPUjQ,34,10,4,1,7,6,7.33333333333,1.83333333333
 DHAq_WmQwjk7gviKXwqnjg,14,4,0,0,2,5,3.0,1.75
