positive, negative, cool, BID, funny, stars, date,type,useful
8,1,2, usSROUMiAgPcxV3Ym0OxMQ, 1, 4, 2008-11-06, review, 3, 
3,1,2, usSROUMiAgPcxV3Ym0OxMQ, 2, 5, 2009-05-10, review, 5, 
19,4,0, usSROUMiAgPcxV3Ym0OxMQ, 1, 4, 2009-06-09, review, 1, 
7,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2009-06-24, review, 1, 
9,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2009-09-28, review, 1, 
2,1,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2009-12-28, review, 0, 
8,2,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2010-07-26, review, 0, 
4,0,1, usSROUMiAgPcxV3Ym0OxMQ, 1, 5, 2010-08-02, review, 2, 
10,2,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2010-09-16, review, 2, 
5,1,1, usSROUMiAgPcxV3Ym0OxMQ, 0, 5, 2010-10-10, review, 1, 
20,7,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 3, 2011-03-14, review, 2, 
2,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2011-05-17, review, 0, 
19,2,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 5, 2011-05-25, review, 0, 
7,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2011-06-28, review, 0, 
12,2,0, usSROUMiAgPcxV3Ym0OxMQ, 1, 4, 2011-08-21, review, 1, 
1,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 3, 2011-10-13, review, 0, 
7,1,1, usSROUMiAgPcxV3Ym0OxMQ, 0, 5, 2012-02-16, review, 0, 
1,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2012-02-29, review, 0, 
4,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 5, 2012-05-13, review, 0, 
2,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2012-07-01, review, 0, 
9,2,1, usSROUMiAgPcxV3Ym0OxMQ, 1, 2, 2012-07-07, review, 2, 
0,0,1, usSROUMiAgPcxV3Ym0OxMQ, 1, 4, 2012-07-08, review, 1, 
0,2,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 2, 2012-09-01, review, 0, 
0,2,1, usSROUMiAgPcxV3Ym0OxMQ, 2, 1, 2012-09-10, review, 1, 
4,2,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 2, 2012-10-31, review, 0, 
8,8,2, usSROUMiAgPcxV3Ym0OxMQ, 0, 1, 2012-12-05, review, 0, 
1,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2012-12-09, review, 0, 
3,1,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2012-12-11, review, 0, 
1,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 1, 2012-12-31, review, 0, 
2,2,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 2, 2013-03-16, review, 0, 
1,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 3, 2013-04-16, review, 1, 
12,3,1, usSROUMiAgPcxV3Ym0OxMQ, 0, 3, 2013-05-13, review, 1, 
8,0,0, usSROUMiAgPcxV3Ym0OxMQ, 0, 4, 2013-05-17, review, 0, 
