business_id,longitude,latitude,stars
usSROUMiAgPcxV3Ym0OxMQ,-79.91808943,40.40887838,4
_jsJFrAmFVPRio0eEVExbA,-80.06235,40.492067,2.5
Rjx8GcWuCzfVsKC5iPIcQA,-80.077006,40.459082,3.5
s74Tq6WKV1b91UFRr7ch7g,-79.931884,40.463717,4
BG4N0V93wml9kaU6YYRxRA,-79.921053,40.458577,2.5
83_p9vIqOq1TUIf3_GD7bA,-79.918862,40.474884,4.5
bZcqORBnVApUA2-SEn7VEQ,-79.9187095,40.4584723,2
YMEtEsUDQKOYJOcE5Fx3gQ,-79.919627,40.475405,5
wfCLz9-aeShbPB7CaTY-qQ,-79.9288302,40.45851065,3.5
EPILrBqmgQxd-R1gZ1EWJg,-79.90508,40.4472949,4.5
lieraydsvilDSAJHbckSAHCjQA,-79.8954753,40.4481991,4.5
2PfavOTufsPCRdYm-bFcpw,-79.9558863,40.4115087,4.5
VkqKyq09rDYMhFk5nElWWA,-79.986911,40.393115,3
BbIh5NTizhV4Fq_mLmNkpg,-79.98224,40.387167,1.5
Z7HNl4Gz00cA0_wt0S-vSw,-80.0190648,40.4621686,4.5
OjzR6hUYasFReo0vhVn0-w,-79.994957,40.455167,4
zq--BGVHu7_fb1VHEwg2ow,-80.0105349,40.4566994,4
cZl7-Um4HiJWFgDVmMan2Q,-80.0009426,40.4509987,2
I9-Ei8_KYtMjbixNJSCvwA,-79.9993338,40.4534946,3.5
obAdXU3RULuUOww759_h_w,-80.0414427,40.4812123,5
YUZVBdGmagwXV-yOhR-1GQ,-80.0416964,40.4851129,2.5
N2DwycuZl95miWf39Yskaw,-80.018177,40.489973,3.5
9NL2GL4jSPVj9SKijH5PqA,-80.0434133,40.3996765,4
WY6FFxpa6ztwDH5OhS6WDw,-80.0347424,40.3954709,4
LV_OCiR9rOHVHgdhbpqw2Q,-80.0500275,40.3885545,4
cRv7pLvIe3eI0efndQBcLg,-80.0433063,40.401054,2.5
ORTRrw3ClZ0Ld0LgY1H_5g,-80.033585,40.395871,3.5
9aw0t0rlACKkMaxsX0KlKA,-80.0466445,40.3958828,4
Tb7hQ37UFA2QFaMwjFieQw,-80.03063,40.414716,2.5
21hqlWgjmNgW4pBZJDuziQ,-80.024985,40.409944,3
WxN-aV_puFazt3UGNLlw0A,-79.893463,40.431523,3.5
JL5B_s1EoN4zIru4JSw4Qg,-79.890649,40.427135,3.5
_8xYpVdKMllhuuf4PIvq8w,-79.8873652,40.42304,3
K8Ebs8G1rwc3DBdznHvDxg,-79.8886201,40.4254343,3
tRhwP2jCg_lI1BrjdscNbw,-80.0594902,40.3915059,4.5
zvqxmVZgJ0XpJfb1Xn5jKQ,-80.065824,40.392484,3.5
uwiD9jxs09xxXG0by_xKuA,-80.061579,40.392551,3
f0eAe5PZMy_MEvxEEBYAcQ,-80.065824,40.392484,4.5
zhQzX3CxM0tdBXwGUWmxGA,-80.047466,40.441776,4.5
ZS7-I04iDm4oRP_GJsJqrA,-80.045902,40.418106,4
xSYGuHecEWP7At0HYbO5Jg,-80.045329,40.418425,3
7ijQJV72aBrEoJCtTBCHxw,-80.0022117,40.4401998,3
z4cCguoHdU48pj6sXMIzqg,-79.994852,40.4441681,2.5
imzKM9-mgN1Yk_RIXx3IgA,-79.984628,40.450964,3.5
9D4PMia-8WqCYXnr7TM0Pw,-79.9854235,40.4503182,4.5
4LcFKTr6Ah87VcxW2z5e6w,-79.9989518,40.4422762,1.5
buVALudg30kgkDusqB3yJw,-79.9834035,40.4514856,4.5
wHi8ODv7TGmeUB02XoX-mA,-79.9842886,40.4505742,2.5
J7I85lTCEGr9-qp6AXPUjQ,-80.0030696,40.441253,4.5
DHAq_WmQwjk7gviKXwqnjg,-79.9852163,40.4504367,4
shrMOQmX_SX-KualwYoAzA,-79.99086,40.44756,2.5
SWzCFTM7KHc-MncD6xxOYQ,-79.9828538,40.4514869,4.5
lVB0HB2PxC9OTtMcz0wagA,-79.986418,40.449767,4
3jPNfiRYdu-tlJM4OGF3og,-79.994009,40.444318,3
41CXLCeB8z2oNdIOvnrzIA,-79.9776291,40.4639257,2.5
YKQ09HGeV3_oiKp8NK7Zqg,-79.9845049,40.4504243,4
gFT2yXDXJ1qfuGOSfSU5Bw,-79.983095,40.4518345,4
cg8b1FGcl-Sytfa8UlCcjg,-79.99086,40.44756,4
UQSGL98JH8346Uv9B9Ec0g,-79.9848298,40.4507069,3.5
kj3qws3WSMgOotUeACSdFA,-79.9756691,40.4570059,4
_aGVicux2dJm9sqzLSCJtg,-79.9997165,40.4422522,3.5
tyXvO1G2qK3MUfaap30auw,-79.9833014,40.4512257,4.5
niW0ggRVPW5fafcfImdK7w,-79.9834614,40.4513551,4.5
TASUnYvk_nvTUyKtroCJSA,-79.98572,40.450211,4.5
#NAME?,-80.0019823,40.4409393,3
E_-4Y9vn-u-dPgp33TLRUQ,-79.947532,40.461189,2.5
Msfys8NloDpAsWmhvC9T6A,-79.947655,40.4612539,3.5
DsxLIr-b6WlDn9YNsVBu_A,-79.948546,40.4618603,4.5
KH6stvNdq_aV0HvKw8P5yA,-79.949333,40.462158,3.5
YTqSkgOiiI9HG3hNH7ovfg,-79.9471799,40.4606393,3.5
3_3yJMo2dTPeq8woOW69IA,-79.9541124,40.4647058,4
