business_id,name,categories,stars,review_count,neighborhoods,longitude,latitude,Price.Range,AcceptCreditCard,Parking
usSROUMiAgPcxV3Ym0OxMQ,Mitchell's Fish Market,"['Seafood', 'Restaurants']",4,73,['Homestead'],-79.91808943,40.40887838,3,1,1
_jsJFrAmFVPRio0eEVExbA,McDonald's,"['Burgers', 'Fast Food', 'Restaurants']",2.5,4,['Bellevue'],-80.06235,40.492067,1,0,0
Rjx8GcWuCzfVsKC5iPIcQA,Remember When,"['Food', 'Ice Cream & Frozen Yogurt']",3.5,8,['Windgap'],-80.077006,40.459082,1,1,1
s74Tq6WKV1b91UFRr7ch7g,Pistella Beer Distributors,"['Food', 'Beer, Wine & Spirits']",4,11,['Friendship'],-79.931884,40.463717,2,1,1
BG4N0V93wml9kaU6YYRxRA,Giant Eagle,"['Food', 'Grocery', 'Shopping', 'Drugstores']",2.5,10,['Shadyside'],-79.921053,40.458577,2,1,1
83_p9vIqOq1TUIf3_GD7bA,Enrico's Tazza D'oro Cafe & Espresso Bar,"['Food', 'Coffee & Tea', 'Cafes', 'Restaurants']",4.5,92,['Highland Park'],-79.918862,40.474884,1,1,1
bZcqORBnVApUA2-SEn7VEQ,McDonald's,"['Burgers', 'Fast Food', 'Restaurants']",2,6,['Shadyside'],-79.9187095,40.4584723,1,1,0
YMEtEsUDQKOYJOcE5Fx3gQ,Food Glorious Food,"['Bakeries', 'Food', 'Specialty Schools', 'Education', 'Cooking Schools']",5,24,['Highland Park'],-79.919627,40.475405,2,1,1
wfCLz9-aeShbPB7CaTY-qQ,Whole Foods Market,"['Food', 'Specialty Food', 'Grocery']",3.5,90,['Shadyside'],-79.9288302,40.45851065,3,1,1
EPILrBqmgQxd-R1gZ1EWJg,Frick Park Market,"['Food', 'Grocery']",4.5,10,['Point Breeze'],-79.90508,40.4472949,1,1,1
#NAME?,East End Food Co-Op,"['Health Markets', 'Food', 'Vegetarian', 'Restaurants', 'Specialty Food']",4.5,60,['Point Breeze'],-79.8954753,40.4481991,2,1,1
2PfavOTufsPCRdYm-bFcpw,Page Dairy Mart,"['Food', 'Ice Cream & Frozen Yogurt']",4.5,53,['South Side'],-79.9558863,40.4115087,1,0,1
VkqKyq09rDYMhFk5nElWWA,Bishop's Pizza,"['Food', 'Ice Cream & Frozen Yogurt', 'Pizza', 'Restaurants']",3,4,['Carrick'],-79.986911,40.393115,2,1,1
BbIh5NTizhV4Fq_mLmNkpg,Long John Silver's Inc,"['Seafood', 'Restaurants']",1.5,3,['Carrick'],-79.98224,40.387167,1,1,0
Z7HNl4Gz00cA0_wt0S-vSw,BreadWorks Bakery,"['Bakeries', 'Food', 'Restaurants']",4.5,12,['North Side'],-80.0190648,40.4621686,1,0,1
OjzR6hUYasFReo0vhVn0-w,Teutonia Mannerchor,"['German', 'Beer, Wine & Spirits', 'Food', 'Restaurants']",4,6,['North Side'],-79.994957,40.455167,2,1,0
zq--BGVHu7_fb1VHEwg2ow,Caruso Beer Distributor,"['Food', 'Beer, Wine & Spirits']",4,7,['North Side'],-80.0105349,40.4566994,2,1,1
cZl7-Um4HiJWFgDVmMan2Q,Giant Eagle,"['Food', 'Grocery']",2,19,['North Side'],-80.0009426,40.4509987,2,1,1
I9-Ei8_KYtMjbixNJSCvwA,The Isaly Company,"['Food', 'Ice Cream & Frozen Yogurt', 'Delis', 'Restaurants']",3.5,3,['North Side'],-79.9993338,40.4534946,1,1,0
obAdXU3RULuUOww759_h_w,Tom Friday's Market,"['Food', 'Specialty Food', 'Meat Shops']",5,6,['Brighton Heights'],-80.0414427,40.4812123,1,1,1
YUZVBdGmagwXV-yOhR-1GQ,Miller's Seafood House,"['Seafood', 'Restaurants']",2.5,10,['Brighton Heights'],-80.0416964,40.4851129,2,1,1
N2DwycuZl95miWf39Yskaw,Schorr Bakery,"['Bakeries', 'Food']",3.5,3,['Observatory Hill'],-80.018177,40.489973,2,0,0
9NL2GL4jSPVj9SKijH5PqA,Kuhn's Market,"['Food', 'Grocery']",4,15,"['Dormont', 'Banksville']",-80.0434133,40.3996765,2,1,1
WY6FFxpa6ztwDH5OhS6WDw,Potomac Bakery,"['Bakeries', 'Food']",4,13,['Dormont'],-80.0347424,40.3954709,2,1,1
LV_OCiR9rOHVHgdhbpqw2Q,Scoops On Beverly,"['Food', 'Ice Cream & Frozen Yogurt']",4,9,[],-80.0500275,40.3885545,1,1,1
cRv7pLvIe3eI0efndQBcLg,Banksville Beer Inc,"['Food', 'Beer, Wine & Spirits']",2.5,3,['Banksville'],-80.0433063,40.401054,2,1,0
ORTRrw3ClZ0Ld0LgY1H_5g,Eat'n Park Restaurant,"['Fast Food', 'American (Traditional)', 'Restaurants']",3.5,15,['Dormont'],-80.033585,40.395871,1,1,1
9aw0t0rlACKkMaxsX0KlKA,Dairy Queen,"['Food', 'Ice Cream & Frozen Yogurt', 'Fast Food', 'Restaurants']",4,5,[],-80.0466445,40.3958828,1,1,1
Tb7hQ37UFA2QFaMwjFieQw,Arby's,"['Fast Food', 'Restaurants']",2.5,5,['Banksville'],-80.03063,40.414716,1,1,0
21hqlWgjmNgW4pBZJDuziQ,Market On Broadway IGA,"['Food', 'Grocery']",3,5,['Beechview'],-80.024985,40.409944,1,1,1
WxN-aV_puFazt3UGNLlw0A,McBroom Distributor,"['Food', 'Beer, Wine & Spirits', 'Event Planning & Services', 'Caterers']",3.5,8,[],-79.893463,40.431523,2,1,1
JL5B_s1EoN4zIru4JSw4Qg,Taco Bell,"['Fast Food', 'Mexican', 'Tex-Mex', 'Restaurants']",3.5,4,[],-79.890649,40.427135,1,1,0
_8xYpVdKMllhuuf4PIvq8w,Giant Eagle,"['Food', 'Grocery']",3,8,[],-79.8873652,40.42304,2,1,1
